TRGID,3PMP Fee,Check In Fee,Marketing Fee,Merchant Fee,Overbox Fee,Packaging Fee,PPS Fee,Refund Fee,Refurb Fee,Revshare Fee,Shipping Fee
213369439,$15,,$0,$0,$0,,$0,,$0,$6,$0
213369440,$15,,$0,$0,$0,,$0,,$0,$6,$0
213369441,$15,,$0,$0,$0,,$0,,$0,$6,$0
213369442,$15,,$0,$0,$0,,$0,,$0,$6,$0
213369443,$8,,$0,$0,$0,,$0,,$0,$3,$0
213369444,$7,,$0,$0,$0,,$0,,$0,$3,$0
213369445,$7,,$0,$0,$0,,$0,,$0,$3,$0
213369458,$17,,$0,$0,$0,,$0,,$0,$6,$0
213369459,$17,,$0,$0,$0,,$0,,$0,$6,$0
213369460,$16,,$0,$0,$0,,$0,,$0,$6,$0
213369466,$18,,$0,$0,$0,,$0,,$0,$6,$0
213369469,$7,,$0,$0,$0,,$0,,$0,$3,$0
213369473,$8,,$0,$0,$0,,$0,,$0,$3,$0
213369474,$8,,$0,$0,$0,,$0,,$0,$3,$0
213369476,$33,,$0,$0,$0,,$0,,$0,$14,$0
213369477,$33,,$0,$0,$0,,$0,,$0,$14,$0
213369478,$21,,$0,$0,$0,,$0,,$0,$8,$0
213369479,$20,,$0,$0,$0,,$0,,$0,$8,$0
213369480,$15,,$0,$0,$0,,$0,,$0,$6,$0
213369481,$23,,$0,$0,$0,,$0,,$0,$12,$0
213369483,$12,,$0,$0,$0,,$0,,$0,$5,$0
213369512,$5,,$0,$0,$0,,$0,,$0,$2,$0
213369515,$6,,$0,$0,$0,,$0,,$0,$2,$0
213369516,$15,,$0,$0,$0,,$0,,$0,$6,$0
213369517,$15,,$0,$0,$0,,$0,,$0,$6,$0
213369528,$11,,$0,$0,$0,,$0,,$0,$4,$0
213369529,$15,,$0,$0,$0,,$0,,$0,$6,$0
213369530,$15,,$0,$0,$0,,$0,,$0,$6,$0
213369591,$12,,$0,$0,$0,,$0,,$0,$5,$0
213369593,$12,,$0,$0,$0,,$0,,$0,$5,$0
213369596,$12,,$0,$0,$0,,$0,,$0,$5,$0
213369599,$16,,$0,$0,$0,,$0,,$0,$5,$0
213369603,$16,,$0,$0,$0,,$0,,$0,$5,$0
213369606,$8,,$0,$0,$0,,$0,,$0,$3,$0
213369607,$8,,$0,$0,$0,,$0,,$0,$3,$0
213369608,$8,,$0,$0,$0,,$0,,$0,$3,$0
213369609,$8,,$0,$0,$0,,$0,,$0,$3,$0
213369610,$8,,$0,$0,$0,,$0,,$0,$3,$0
213369611,$8,,$0,$0,$0,,$0,,$0,$3,$0
213369612,$8,,$0,$0,$0,,$0,,$0,$3,$0
213369619,$16,,$0,$0,$0,,$0,,$0,$5,$0
213369621,$16,,$0,$0,$0,,$0,,$0,$5,$0
213369624,$16,,$0,$0,$0,,$0,,$0,$5,$0
213369626,$16,,$0,$0,$0,,$0,,$0,$5,$0
213369629,$16,,$0,$0,$0,,$0,,$0,$5,$0
213369631,$18,,$0,$0,$0,,$0,,$0,$5,$0
213369638,$10,,$0,$0,$0,,$0,,$0,$4,$0
213369639,$10,,$0,$0,$0,,$0,,$0,$4,$0
213369642,$8,,$0,$0,$0,,$0,,$0,$3,$0
213369644,$14,,$0,$0,$0,,$0,,$0,$6,$0
213369646,$12,,$0,$0,$0,,$0,,$0,$6,$0
213369660,$18,,$0,$0,$0,,$0,,$0,$5,$0
213369668,$6,,$0,$0,$0,,$0,,$0,$3,$0
213369675,$16,,$0,$0,$0,,$0,,$0,$7,$0
213369676,$8,,$0,$0,$0,,$0,,$0,$4,$0
213369677,$16,,$0,$0,$0,,$0,,$0,$7,$0
213369680,$6,,$0,$0,$0,,$0,,$0,$3,$0
213369691,$15,,$0,$0,$0,,$0,,$0,$6,$0
213369692,$15,,$0,$0,$0,,$0,,$0,$6,$0
213369693,$16,,$0,$0,$0,,$0,,$0,$6,$0
213369699,$2,,$0,$0,$0,,$0,,$0,$1,$0
213369702,$30,,$0,$0,$0,,$0,,$0,$14,$0
213369707,$9,,$0,,$0,,$0,,$0,$4,
213369708,$9,,$0,,$0,,$0,,$0,$4,
213369709,$9,,$0,,$0,,$0,,$0,$4,
213369711,$3,,$0,$0,$0,,$0,,$0,$1,$0
213369712,$4,,$0,$0,$0,,$0,,$0,$1,$0
213369714,$10,,$0,$0,$0,,$0,,$0,$4,$0
213369715,$3,,$0,$0,$0,,$0,,$0,$1,$0
213369719,$9,,$0,$0,$0,,$0,,$0,$4,$0
213369723,$2,,$0,$0,$0,,$0,,$0,$1,$0
213369740,$15,,$0,$0,$0,,$0,,$0,$6,$0
213369849,$5,,$0,$0,$0,,$0,,$0,$2,$0
213369854,$0,,$0,,$0,,$0,,$0,$6,
213369855,$12,,$0,$0,$0,,$0,,$0,$5,$0
213369859,$31,,$0,$0,$0,,$0,,$0,$10,$0
213369860,$24,,$0,$0,$0,,$0,,$0,$10,$0
213369861,$15,,$0,$0,$0,,$0,,$0,$5,$0
213369862,$29,,$0,$0,$0,,$0,,$0,$10,$0
213369863,$29,,$0,$0,$0,,$0,,$0,$10,$0
213369864,$3,,$0,$0,$0,,$0,,$0,$1,$0
213369866,$14,,$0,$0,$0,,$0,,$0,$4,$0
213369868,$14,,$0,$0,$0,,$0,,$0,$4,$0
213369869,$24,,$0,$0,$0,,$0,,$0,$10,$0
213369871,$15,,$0,$0,$0,,$0,,$0,$6,$0
213369872,$24,,$0,$0,$0,,$0,,$0,$10,$0
213369873,$10,,$0,$0,$0,,$0,,$0,$6,$0
213369874,$24,,$0,$0,$0,,$0,,$0,$10,$0
213369876,$24,,$0,$0,$0,,$0,,$0,$10,$0
213369877,$24,,$0,$0,$0,,$0,,$0,$10,$0
213369878,$24,,$0,$0,$0,,$0,,$0,$10,$0
213369880,$24,,$0,$0,$0,,$0,,$0,$10,$0
213369881,$15,,$0,$0,$0,,$0,,$0,$6,$0
213369883,$27,,$0,$0,$0,,$0,,$0,$11,$0
213369884,$15,,$0,$0,$0,,$0,,$0,$5,$0
213369885,$9,,$0,$0,$0,,$0,,$0,$6,$0
213369886,$19,,$0,$0,$0,,$0,,$0,$8,$0
213369887,$23,,$0,$0,$0,,$0,,$0,$9,$0
213369889,$15,,$0,$0,$0,,$0,,$0,$6,$0
213369895,$24,,$0,$0,$0,,$0,,$0,$10,$0
213369897,$19,,$0,$0,$0,,$0,,$0,$8,$0
213369899,$39,,$0,$0,$0,,$0,,$0,$16,$0
213369901,$35,,$0,$0,$0,,$0,,$0,$15,$0
213369906,$32,,$0,$0,$0,,$0,,$0,$13,$0
213369910,$11,,$0,$0,$0,,$0,,$0,$6,$0
213369911,$0,,$0,,$0,,$0,,$0,$7,
213369912,$11,,$0,$0,$0,,$0,,$0,$6,$0
213369917,$30,,$0,$0,$0,,$0,,$0,$13,$0
213369924,$35,,$0,$0,$0,,$0,,$0,$15,$0
213369927,$20,,$0,$0,$0,,$0,,$0,$14,$0
213370350,$3,,$0,$0,$0,,$0,,$0,$1,$0
213370354,$0,,$0,,$0,,$0,,$0,$7,
213370361,$4,,$0,$0,$0,,$0,,$0,$2,$0
213370362,$4,,$0,$0,$0,,$0,,$0,$2,$0
213370371,$1,,$0,$0,$0,,$0,,$0,$1,$0
213370372,$1,,$0,$0,$0,,$0,,$0,$1,$0
213370373,$8,,$0,$0,$0,,$0,,$0,$5,$0
213370374,$2,,$0,$0,$0,,$0,,$0,$1,$0
213370375,$2,,$0,$0,$0,,$0,,$0,$1,$0
213370376,$39,,$0,$0,$0,,$0,,$0,$16,$0
213370377,$30,,$0,$0,$0,,$0,,$0,$13,$0
213370379,$10,,$0,$0,$0,,$0,,$0,$6,$0
213370380,$39,,$0,$0,$0,,$0,,$0,$16,$0
213370383,$8,,$0,$0,$0,,$0,,$0,$5,$0
213370384,$7,,$0,$0,$0,,$0,,$0,$3,$0
213370387,$5,,$0,$0,$0,,$0,,$0,$2,$0
213370388,$62,,$0,$0,$0,,$0,,$0,$26,$0
213370430,$2,,$0,,$0,,$0,,$0,$1,
213370439,$8,,$0,$0,$0,,$0,,$0,$4,$0
213370464,$2,,$0,$0,$0,,$0,,$0,$1,$0
213370465,$2,,$0,$0,$0,,$0,,$0,$1,$0
213370466,$2,,$0,$0,$0,,$0,,$0,$1,$0
213370467,$2,,$0,$0,$0,,$0,,$0,$1,$0
213370499,$15,,$0,$0,$0,,$0,,$0,$6,$0
213370517,$3,,$0,$0,$0,,$0,,$0,$1,$0
213370518,$3,,$0,$0,$0,,$0,,$0,$1,$0
213370522,$2,,$0,$0,$0,,$0,,$0,$1,$0
213370530,$26,,$0,$0,$0,,$0,,$0,$8,$0
213371285,$2,,$0,$0,$0,,$0,,$0,$1,$0
213371287,$9,,$0,$0,$0,,$0,,$0,$4,$0
213371289,$9,,$0,$0,$0,,$0,,$0,$4,$0
213371295,$3,,$0,$0,$0,,$0,,$0,$1,$0
213371299,$48,,$0,$0,$0,,$0,,$0,$20,$0
213371302,$3,,$0,$0,$0,,$0,,$0,$1,$0
213371307,$3,,$0,$0,$0,,$0,,$0,$1,$0
213371309,$9,,$0,$0,$0,,$0,,$0,$4,$0
213371315,$8,,$0,$0,$0,,$0,,$0,$3,$0
213371330,$4,,$0,$0,$0,,$0,,$0,$2,$0
213371342,$6,,$0,$0,$0,,$0,,$0,$2,$0
213371353,$0,,$0,$0,$0,,$0,,$0,$30,$0
213371362,$8,,$0,$0,$0,,$0,,$0,$3,$0
213371373,$8,,$0,$0,$0,,$0,,$0,$3,$0
213371381,$8,,$0,$0,$0,,$0,,$0,$3,$0
213371382,$5,,$0,$0,$0,,$0,,$0,$1,$0
213371384,$8,,$0,$0,$0,,$0,,$0,$3,$0
213371385,$29,,$0,$0,$0,,$4,,$16,$12,$0
213371386,$8,,$0,$0,$0,,$0,,$0,$3,$0
213371401,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371402,$2,,$0,$0,$0,,$0,,$0,$1,$0
213371403,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371405,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371407,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371409,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371411,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371413,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371414,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371417,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371419,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371421,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371429,$54,,$0,$0,$0,,$4,,$18,$23,$0
213371437,$2,,$0,$0,$0,,$0,,$0,$1,$0
213371438,$23,,$0,$0,$0,,$4,,$42,$7,$0
213371490,$11,,$0,$0,$0,,$0,,$0,$3,$0
213371512,$36,,$0,$0,$0,,$0,,$0,$15,$0
213371519,$36,,$0,$0,$0,,$0,,$0,$15,$0
213371531,$41,,$0,$0,$0,,$0,,$0,$17,$0
213371537,$82,,$0,$0,$0,,$0,,$0,$34,$0
213371545,$43,,$0,$0,$0,,$0,,$0,$18,$0
213371553,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371563,$27,,$0,$0,$0,,$0,,$0,$14,$0
213371573,$3,,$0,$0,$0,,$0,,$0,$1,$0
213371579,$3,,$0,$0,$0,,$0,,$0,$1,$0
213371584,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371589,$16,,$0,$0,$0,,$4,,$16,$6,$0
213371590,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371593,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371601,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371605,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371606,$19,,$0,$0,$6,,$6,,$22,$7,$0
213371609,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371613,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371616,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371622,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371626,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371632,$4,,$0,$0,$0,,$0,,$0,$1,$0
213371666,$12,,$0,$0,$0,,$4,,$18,$5,$0
213371672,$37,,$0,$0,$0,,$0,,$0,$18,$0
213371682,$34,,$0,$0,$0,,$0,,$0,$14,$0
213371707,$15,,$0,$0,$6,,$6,,$19,$7,$0
213371723,$36,,$0,$0,$0,,$0,,$0,$15,$0
213371736,$34,,$0,$0,$0,,$0,,$0,$15,$0
213371747,$6,,$0,$0,$6,,$6,,$8,$2,$0
213371748,$12,,$0,$0,$0,,$4,,$32,$4,$0
213371787,$2,,$0,$0,$0,,$0,,$0,$1,$0
213371790,$8,,$0,$0,$0,,$0,,$0,$3,$0
213371795,$5,,$0,$0,$0,,$4,,$16,$2,$0
213371800,$13,$3,$0,$0,$0,,$4,,$0,$5,$0
213371812,$29,,$0,$0,$0,,$4,,$16,$12,$0
213371825,$6,,$0,$0,$0,,$0,,$0,$2,$0
213371843,$12,,$0,$0,$0,,$4,,$18,$5,$0
213371844,$48,,$0,$0,$0,,$0,,$0,$20,$0
213371845,$14,,$0,$0,$0,,$4,,$1,$4,$0
213371860,$5,,$0,$0,$0,,$4,,$16,$2,$0
213371880,$2,,$0,$0,$0,,$0,,$0,$1,$0
213371890,$48,,$0,$0,$0,,$0,,$0,$20,$0
213371905,$7,,$0,$0,$0,,$0,,$0,$3,$0
213371906,$2,,$0,$0,$0,,$0,,$0,$1,$0
213371924,$3,,$0,$0,$0,,$0,,$0,$1,$0
213371938,$2,,$0,$0,$0,,$0,,$0,$1,$0
213371952,$2,,$0,$0,$0,,$0,,$0,$1,$0
213371953,$7,,$0,$0,$0,,$4,,$18,$3,$0
213371959,$2,,$0,$0,$0,,$0,,$0,$1,$0
213371981,$12,,$0,$0,$0,,$4,,$18,$5,$0
213371994,$5,,$0,$0,$0,,$4,,$16,$2,$0
